"Neighbourhood","Neighbourhood Id","City Grants Funding $","Neighbourhood Equity Score","Salvation Army Donors","Walk Score","Watermain Breaks","Diversity Index - 2008","Voter Turnout - 2008"
"West Humber-Clairville",1,123283,45.78,640,57,30,4.76954,34.7571
"Mount Olive-Silverstone-Jamestown",2,238172,29.29,222,61,8,4.969163,28.1441
"Thistletown-Beaumond Heights",3,7296,39.78,218,54,9,5.106365,40.5373
"Rexdale-Kipling",4,35100,43.76,336,58,5,5.20861,39.7091
"Elms-Old Rexdale",5,0,29.54,152,48,10,5.502152,34.0128
"Kingsview Village-The Westway",6,0,41.76,681,56,21,5.306001,34.6504
"Willowridge-Martingrove-Richview",7,14425,54.46,1186,51,5,5.081778,37.744
"Humber Heights-Westmount",8,32400,56.13,595,58,31,4.855956,36.1911
"Edenbridge-Humber Valley",9,0,63.36,1192,49,22,4.856194,36.4241
"Princess-Rosethorn",10,0,76.57,1139,48,19,4.488839,39.1461
"Eringate-Centennial-West Deane",11,0,62.56,950,57,12,5.103427,34.764
"Markland Wood",12,1200,74.88,953,69,11,4.662156,37.7516
"Etobicoke West Mall",13,64200,51.19,424,74,3,5.282766,31.287
"Islington-City Centre West",14,12500,62.51,2012,72,32,5.258512,33.6886
"Kingsway South",15,0,86.19,1047,68,4,4.197114,38.1076
"Stonegate-Queensway",16,0,69.29,1440,67,24,4.755226,37.1248
"Mimico",17,3000,62.36,873,71,6,5.036239,34.0997
"New Toronto",18,0,53.21,279,79,6,4.930158,34.5868
"Long Branch",19,0,56.26,308,72,11,4.791108,35.5761
"Alderwood",20,0,63.88,599,70,20,4.510898,38.2793
"Humber Summit",21,0,34.3,179,61,7,4.215487,29.1012
"Humbermede",22,0,36.09,200,58,4,5.124448,30.3587
"Pelmo Park-Humberlea",23,0,53.79,258,57,2,4.712372,39.1851
"Black Creek",24,45890,21.38,126,62,3,5.456871,41.842
"Glenfield-Jane Heights",25,196977,24.39,247,61,20,5.086977,38.3011
"Downsview-Roding-CFB",26,399478,37.16,538,59,26,5.036294,32.3401
"York University Heights",27,23870,37.66,408,60,13,5.313754,27.4232
"Rustic",28,0,35.4,156,60,4,4.799548,38.1088
"Maple Leaf",29,0,50.72,163,66,8,4.152809,40.1153
"Brookhaven-Amesbury",30,16300,43.07,201,62,4,5.337514,35.9503
"Yorkdale-Glen Park",31,59894,49.53,335,72,13,4.82349,37.9178
"Englemount-Lawrence",32,18000,56.01,482,70,13,5.041456,32.3684
"Clanton Park",33,0,69.53,268,63,11,4.876642,32.933
"Bathurst Manor",34,2800,58.41,300,61,20,4.790258,32.4815
"Westminster-Branson",35,4000,46.57,381,61,2,4.531544,26.9938
"Newtonbrook West",36,22705,56.07,544,69,22,4.875923,31.9066
"Willowdale West",37,0,67.04,633,78,12,4.958528,37.0513
"Lansing-Westgate",38,12000,76.15,695,77,10,4.964076,36.0309
"Bedford Park-Nortown",39,28000,81.55,1157,73,29,4.598896,34.6094
"St.Andrew-Windfields",40,0,77.43,1066,60,18,4.946863,30.7276
"Bridle Path-Sunnybrook-York Mills",41,6500,83.04,749,58,10,4.537839,35.0177
"Banbury-Don Mills",42,0,73.19,2145,67,12,5.069054,36.8457
"Victoria Village",43,9000,40.39,586,71,13,5.357632,36.3495
"Flemingdon Park",44,235152,35.81,266,63,2,5.265965,34.1503
"Parkwoods-Donalda",45,0,53.79,1211,63,10,5.420609,37.5207
"Pleasant View",46,0,65.72,423,66,15,4.54848,34.1945
"Don Valley Village",47,15200,60.52,702,79,8,5.01032,30.5458
"Hillcrest Village",48,25000,65.84,587,68,24,4.253976,29.6446
"Bayview Woods-Steeles",49,0,62.37,541,57,13,4.492105,30.7914
"Newtonbrook East",50,30649,65.18,591,64,17,4.511325,29.3582
"Willowdale East",51,20000,69.67,1266,84,20,4.484754,27.4662
"Bayview Village",52,0,71.65,742,71,15,4.681225,33.5428
"Henry Farm",53,12468,51.87,338,76,4,5.02249,34.4285
"O'Connor-Parkview",54,8000,48.67,858,67,12,4.917806,42.511
"Thorncliffe Park",55,38000,33.09,471,73,5,4.699943,43.4614
"Leaside-Bennington",56,0,85.82,1506,77,18,4.256323,49.1137
"Broadview North",57,79513,53.69,317,74,3,5.053267,39.002
"Old East York",58,0,65.61,444,69,0,4.612934,38.4143
"Danforth-East York",59,2600,66.94,587,77,3,4.774311,40.0439
"Woodbine-Lumsden",60,0,59.08,240,73,1,4.545929,37.3999
"Taylor-Massey",61,119039,33.21,237,77,0,5.079342,36.5922
"East End-Danforth",62,32880,65.82,629,85,1,4.681753,38.6117
"The Beaches",63,0,82.62,1244,88,2,4.246457,38.6814
"Woodbine Corridor",64,37500,68.11,358,85,2,4.696706,40.0025
"Greenwood-Coxwell",65,5700,52.13,329,88,2,4.632516,34.5637
"Danforth",66,23810,67.56,256,86,2,4.698348,39.0049
"Playter Estates-Danforth",67,75239,76.16,298,90,1,4.50882,44.258
"North Riverdale",68,0,81.21,390,90,1,4.532417,41.5651
"Blake-Jones",69,112653,58.07,141,89,1,4.821722,36.9598
"South Riverdale",70,326371,59.94,452,91,18,4.533352,35.0799
"Cabbagetown-South St.James Town",71,69600,74.42,440,91,0,4.699411,47.0053
"Regent Park",72,37377,29.81,98,88,3,5.084042,48.4002
"Moss Park",73,526251.92,50.11,317,95,6,5.116499,33.8134
"North St.James Town",74,85839,47.55,182,93,0,5.374177,37.4289
"Church-Yonge Corridor",75,1115668,67.92,945,98,10,5.066421,28.3497
"Bay Street Corridor",76,2893324,77.07,1576,99,8,5.174795,21.047
"Waterfront Communities-The Island",77,2395897,80.99,1222,92,14,5.151933,45.563
"Kensington-Chinatown",78,1054403.08,50.7,210,97,1,4.604016,34.5843
"University",79,208030,75.07,198,97,3,4.741803,24.7327
"Palmerston-Little Italy",80,166598,72.19,218,95,3,4.922344,36.4518
"Trinity-Bellwoods",81,104565,60.09,195,94,4,4.395302,30.9212
"Niagara",82,486176,72.54,336,84,1,5.064208,34.1422
"Dufferin Grove",83,24065,66.79,132,90,1,4.996398,32.3442
"Little Portugal",84,52210,60.04,144,88,3,4.3379,31.0218
"South Parkdale",85,196602,33.1,204,83,5,5.434838,38.0424
"Roncesvalles",86,40000,64.95,238,91,0,5.011874,40.1122
"High Park-Swansea",87,53400,77.14,1091,79,5,4.861611,44.7865
"High Park North",88,41800,80.58,789,84,1,5.075945,41.8664
"Runnymede-Bloor West Village",89,8670,85.85,427,81,0,4.720005,43.0176
"Junction Area",90,12000,64.27,282,83,1,5.118478,37.1691
"Weston-Pellam Park",91,84270,40.47,83,75,4,4.626214,36.0791
"Corso Italia-Davenport",92,0,54.03,136,79,3,4.425372,36.7577
"Dovercourt-Wallace Emerson-Juncti",93,97970,57.09,409,88,8,4.98361,33.948
"Wychwood",94,24000,65.46,466,86,3,5.14814,44.1965
"Annex",95,553355,78.6,1401,94,11,4.951476,37.4325
"Casa Loma",96,28600,82.31,714,80,3,4.731636,38.1693
"Yonge-St.Clair",97,6500,80.99,1126,84,0,4.579535,39.3099
"Rosedale-Moore Park",98,38672,83.78,2101,84,8,4.497581,38.2953
"Mount Pleasant East",99,3500,86.04,1297,88,1,4.528641,40.1053
"Yonge-Eglinton",100,78748,88.11,829,89,2,4.521739,37.9066
"Forest Hill South",101,0,86.24,730,76,5,4.591483,33.91
