"HOOD.ID","AREA.NAME","Number.of.Collisions","Number.of.KSIs","Number.of.Deaths","Number.of.Collisions.at.Intersections","Number.of.Collisions.at.Non.Intersections","Number.of.Collisions.Involving.Seniors","Number.of.Collisions.Involving.Children","Number.of.Collisions.in.Daylight","Number.of.Collisions.Not.Daylight","Number.of.Collisions.in.Clear.Visibility","Number.of.Collisions.in.No.Clear.Visibility","Number.of.Collisions.on.Arterial.Roads","Number.of.Collisions.on.Non.arterial.Roads","Number.of..Pedestrian.Collisions","Number.of.Cyclist.Collisions","City.Grants.Funding..","Neighbourhood.Equity.Score","Salvation.Army.Donors","Walk.Score","Watermain.Breaks","Diversity.Index...2008","Voter.Turnout...2008","equity_check","walk_check","diversity_check","turnout_check","Number.of.Businesses","Child.Care.Spaces","Debt.Risk.Score","Home.Prices","Local.Employment","Social.Assistance.Recipients","businesses_check","childcare_check","homeprice_check","localemployment_check","socialasst_check","Total...In.LIM.AT","MOST.SPOKEN.NON.OFFICIAL.LANG","X2ND.MOST.SPOKEN.NON.OFFICIAL.LANG","X3RD.MOST.SPOKEN.NON.OFFICIAL.LANG","X..OFFICIAL.LANG.AT.HOME","X..NON.OFFICIAL.LANG.AT.HOME","language_check","Population.2016","Population.density.per.square.kilometre","Land.area.in.square.kilometres","Children..0.14.years.","Youth..15.24.years.","Working.Age..25.54.years.","Pre.retirement..55.64.years.","Seniors..65..years.","Older.Seniors..85..years.","X..Immigrants","X..Visible.Minority","Unemployment.rate","Commute.within.census.subdivision..CSD..of.residence","X..Commute.in.Car.truck","X..Commute.in.Public.transit","X..Commute.in.Walked","X..Commute.by.Bicycle","X..Commute.by.Other","Commuting.duration...Less.than.15.minutes","Commuting.duration...15.to.29.minutes","Commuting.duration...30.to.44.minutes","Commuting.duration...45.to.59.minutes","Commuting.duration...60.minutes.and.over","X..Time.leaving.for.work...Between.5.a.m..and.5.59.a.m.","X..Time.leaving.for.work...Between.6.a.m..and.6.59.a.m.","X..Time.leaving.for.work...Between.7.a.m..and.7.59.a.m.","X..Time.leaving.for.work...Between.8.a.m..and.8.59.a.m.","X..Time.leaving.for.work...Between.9.a.m..and.11.59.a.m.","X..Time.leaving.for.work...Between.12.p.m..and.4.59.a.m.","child_check","senior_check","minority_check","immigrants_check","commute_car_check","TTC.Stops","Traffic.Collisions","Road.Kilometres","Road.Volume","ttc_check","road_km_check","road_vol_check","collisions.per.road.km","ksi.per.road.km","deaths.per.road.km","collisions.per.100k","ksi.per.100k","deaths.per.100k","Number.of.NonKSIs","hinhoods_norm$composite_score"
"1","West Humber-Clairville (1)",387,39,7,299,88,61,47,255,132,314,73,328,59,283,104,123283,45.78,640,57,30,4.76954,34.7571,1,1,1,1,2463,195,719,317508,58271,2912,1,1,0,1,1,15.8,"Punjabi","Gujarati","Spanish",0.64,0.36,1,33312,1117,29.81,0.15,0.16,0.42,0.12,0.15,0.02,0.58,0.82,9.6,0.62,0.68,0.28,0.03,0,0,0.15,0.3,0.25,0.1,0.19,0.09,0.18,0.21,0.18,0.12,0.23,1,0,1,1,1,338,778,165.0073788,5956.638889,1,1,1,2.34534966141769,0.236353066654496,0.0424223452969607,14.1676712778105,1.42774981869408,0.256262787970732,348,45.2105605597472
"10","Princess-Rosethorn (10)",61,2,0,48,13,7,7,49,12,55,6,55,6,29,32,0,76.57,1139,48,19,4.488839,39.1461,0,1,1,0,74,367,791,971668,1226,299,0,1,1,0,0,7.4,"Korean","Serbian","Mandarin",0.86,0.14,0,11051,2138,5.17,0.16,0.14,0.35,0.17,0.18,0.03,0.3,0.19,6,0.67,0.78,0.2,0.02,0,0,0.12,0.32,0.25,0.18,0.12,0.03,0.13,0.34,0.28,0.12,0.1,1,1,0,0,1,61,78,55.51501804,4781,0,1,1,1.09880176848809,0.0360262874914127,0,2.23314715231638,0.0732179394202091,0,59,25.323127609537
"100","Yonge-Eglinton (100)",219,16,2,169,50,28,12,147,72,181,38,188,31,163,56,78748,88.11,829,89,2,4.521739,37.9066,0,0,1,0,690,45,759,975449,11746,189,1,0,1,1,0,12,"Spanish","Mandarin","Korean",0.91,0.09,0,11817,7162,1.65,0.15,0.1,0.5,0.11,0.14,0.01,0.27,0.27,6.9,0.9,0.36,0.49,0.11,0.02,0.02,0.12,0.3,0.37,0.13,0.08,0.02,0.08,0.26,0.38,0.17,0.09,1,0,0,0,0,67,143,22.07398574,5391,0,0,1,9.92118064129908,0.724835115346052,0.0906043894182565,8.0173643665129,0.585743515361673,0.0732179394202091,203,27.3442157332761
"101","Forest Hill South (101)",69,4,1,57,12,6,5,60,9,64,5,48,21,50,19,0,86.24,730,76,5,4.591483,33.91,0,0,1,1,175,30,775,1585984,1945,134,0,0,1,0,0,10.5,"Mandarin","Spanish","Tagalog",0.92,0.07,0,10732,4380,2.45,0.13,0.13,0.39,0.14,0.21,0.03,0.26,0.17,5.6,0.91,0.51,0.38,0.06,0.03,0.03,0.14,0.41,0.29,0.09,0.08,0.01,0.08,0.22,0.36,0.23,0.09,0,1,0,0,0,28,164,30.25289175,5855,0,0,1,2.28077370488063,0.132218765500326,0.0330546913750815,2.52601890999721,0.146435878840418,0.0366089697101045,65,21.9503988682251
"102","Forest Hill North (102)",67,10,1,50,17,12,5,49,18,61,6,39,28,55,12,0,74.94,392,77,3,4.825068,35.714,0,0,1,1,144,110,749,957688,897,633,0,0,1,0,0,15.4,"Tagalog","Russian","Spanish",0.81,0.19,0,12806,8054,1.59,0.16,0.12,0.42,0.13,0.17,0.03,0.39,0.28,7.4,0.86,0.49,0.43,0.04,0.02,0.02,0.12,0.28,0.36,0.14,0.1,0.03,0.09,0.25,0.33,0.19,0.11,1,1,0,0,0,53,153,20.41502948,5872.555556,0,0,1,3.28189582413476,0.489835197632054,0.0489835197632054,2.452800970577,0.366089697101046,0.0366089697101045,57,27.8476537661435
"103","Lawrence Park South (103)",124,11,2,105,19,13,23,83,41,106,18,104,20,79,45,0,90.12,1307,72,3,4.355668,37.6312,0,1,1,0,167,140,784,1215390,1634,240,0,1,1,0,0,7.3,"Mandarin","Persian","Russian",0.93,0.07,0,15179,4685,3.24,0.19,0.14,0.39,0.14,0.15,0.02,0.21,0.17,7.5,0.87,0.57,0.33,0.06,0.02,0.02,0.11,0.29,0.39,0.14,0.07,0.02,0.07,0.29,0.4,0.16,0.07,1,0,0,0,1,39,183,39.90787305,4398.111111,0,1,1,3.10715632087539,0.275634834916365,0.0501154245302482,4.53951224405296,0.40269866681115,0.0732179394202091,113,27.6506496862972
"104","Mount Pleasant West (104)",182,13,2,127,55,22,25,119,63,145,37,129,53,141,41,0,76.39,1392,95,4,5.086278,36.9905,0,0,0,0,1129,255,753,520032,13311,1343,1,1,0,1,0,20.9,"Persian","Spanish","Korean",0.82,0.18,0,29658,21969,1.35,0.08,0.08,0.58,0.1,0.16,0.03,0.39,0.34,6.7,0.89,0.31,0.56,0.11,0.01,0.01,0.1,0.28,0.38,0.14,0.1,0.02,0.08,0.26,0.36,0.17,0.1,0,1,0,0,0,45,228,16.12560861,5827.571429,0,0,1,11.2863957201055,0.806171122864677,0.124026326594566,6.66283248723903,0.475916606231359,0.0732179394202091,169,34.0003107720725
"105","Lawrence Park North (105)",88,5,1,79,9,13,17,63,25,76,12,54,34,61,27,0,92.05,1231,78,3,4.424805,41.0962,0,0,1,0,381,212,790,980831,3624,166,0,1,1,0,0,6.8,"Mandarin","Persian","Spanish",0.93,0.07,0,14607,6407,2.28,0.22,0.11,0.41,0.12,0.13,0.02,0.23,0.21,6.4,0.87,0.5,0.42,0.05,0.01,0.01,0.11,0.3,0.4,0.14,0.05,0.01,0.07,0.32,0.37,0.15,0.08,1,0,0,0,0,55,218,29.60219911,4704.142857,0,0,1,2.9727521145641,0.168906370145687,0.0337812740291375,3.2215893344892,0.183044848550523,0.0366089697101045,83,25.298294854191
"106","Humewood-Cedarvale (106)",107,12,5,84,23,18,10,78,29,89,18,95,12,84,23,0,73.94,302,80,2,5.024598,44.6269,0,0,0,0,139,108,747,800442,1345,698,0,0,1,0,0,15.6,"Tagalog","Spanish","Portuguese",0.87,0.13,0,14365,7682,1.87,0.15,0.11,0.49,0.11,0.14,0.02,0.33,0.29,7.1,0.89,0.38,0.5,0.06,0.04,0.04,0.09,0.27,0.39,0.14,0.11,0.03,0.09,0.25,0.31,0.19,0.14,1,0,0,0,0,29,88,23.21263491,3941,0,0,0,4.60955856217359,0.51695983874844,0.21539993281185,3.91715975898119,0.439307636521255,0.183044848550523,95,29.8154272417948
"107","Oakwood Village (107)",147,17,1,113,34,24,22,105,42,123,24,110,37,109,38,50000,57.33,352,82,0,5.12517,36.0092,1,0,0,0,255,168,713,482040,1573,2412,0,1,0,0,1,18.5,"Portuguese","Spanish","Italian",0.72,0.28,1,21210,9511,2.23,0.15,0.11,0.45,0.12,0.17,0.03,0.48,0.43,6.8,0.87,0.42,0.49,0.04,0.04,0.04,0.07,0.23,0.37,0.19,0.14,0.05,0.14,0.23,0.26,0.16,0.16,1,1,0,1,0,40,178,32.5587855,4503.666667,0,0,1,4.51491042256475,0.522132497847624,0.0307136763439779,5.38151854738537,0.622352485071777,0.0366089697101045,130,33.5047583515654
