"Hood Name","Hood ID","Population 2016","Population density per square kilometre","Land area in square kilometres","Children (0-14 years)","Youth (15-24 years)","Working Age (25-54 years)","Pre-retirement (55-64 years)","Seniors (65+ years)","Older Seniors (85+ years)","% Immigrants","% Visible Minority","Unemployment rate","Commute within census subdivision (CSD) of residence","% Commute in Car truck","% Commute in Public transit","% Commute in Walked","% Commute by Bicycle","% Commute by Other","Commuting duration - Less than 15 minutes","Commuting duration - 15 to 29 minutes","Commuting duration - 30 to 44 minutes","Commuting duration - 45 to 59 minutes","Commuting duration - 60 minutes and over","% Time leaving for work - Between 5 a.m. and 5:59 a.m.","% Time leaving for work - Between 6 a.m. and 6:59 a.m.","% Time leaving for work - Between 7 a.m. and 7:59 a.m.","% Time leaving for work - Between 8 a.m. and 8:59 a.m.","% Time leaving for work - Between 9 a.m. and 11:59 a.m.","% Time leaving for work - Between 12 p.m. and 4:59 a.m.","child_check","senior_check","minority_check","immigrants_check","commute_car_check"
"Agincourt North",129,29113,3929,7.41,0.13,0.13,0.39,0.15,0.21,0.03,0.69,0.91,9.8,0.7,0.68,0.28,0.02,0.01,0.01,0.14,0.27,0.25,0.12,0.23,0.04,0.13,0.22,0.23,0.22,0.15,0,1,1,1,1
"Agincourt South-Malvern West",128,23757,3034,7.83,0.13,0.14,0.42,0.14,0.17,0.02,0.64,0.86,9.8,0.74,0.67,0.29,0.03,0,0,0.14,0.27,0.25,0.12,0.22,0.03,0.13,0.23,0.23,0.22,0.16,0,1,1,1,1
"Alderwood",20,12054,2435,4.95,0.15,0.1,0.43,0.15,0.17,0.03,0.33,0.21,6.1,0.69,0.74,0.21,0.03,0.01,0.01,0.2,0.3,0.25,0.1,0.15,0.08,0.18,0.27,0.21,0.11,0.15,1,1,0,0,1
"Annex",95,30526,10863,2.81,0.08,0.12,0.49,0.11,0.19,0.03,0.29,0.25,6.7,0.92,0.24,0.42,0.21,0.11,0.11,0.16,0.42,0.27,0.09,0.06,0.02,0.06,0.19,0.39,0.23,0.12,0,1,0,0,0
"Banbury-Don Mills",42,27695,2775,9.98,0.13,0.1,0.39,0.13,0.25,0.06,0.49,0.47,7.2,0.84,0.67,0.26,0.05,0.01,0.01,0.15,0.3,0.27,0.14,0.14,0.03,0.11,0.27,0.32,0.18,0.1,0,1,0,1,1
"Bathurst Manor",34,15873,3377,4.7,0.15,0.12,0.42,0.13,0.19,0.04,0.51,0.35,7.2,0.77,0.57,0.39,0.03,0,0,0.12,0.24,0.29,0.2,0.16,0.04,0.12,0.27,0.27,0.15,0.15,1,1,0,1,1
"Bay Street Corridor",76,25797,14097,1.83,0.07,0.27,0.51,0.07,0.09,0.01,0.41,0.62,10.2,0.91,0.16,0.3,0.49,0.03,0.03,0.27,0.41,0.19,0.06,0.07,0.01,0.07,0.2,0.42,0.2,0.08,0,0,1,0,0
"Bayview Village",52,21396,4195,5.1,0.11,0.12,0.48,0.12,0.17,0.03,0.6,0.69,7.7,0.76,0.58,0.38,0.04,0,0,0.09,0.26,0.31,0.19,0.15,0.02,0.09,0.27,0.34,0.19,0.1,0,1,1,1,1
"Bayview Woods-Steeles",49,13154,3240,4.06,0.12,0.12,0.34,0.14,0.28,0.06,0.59,0.65,8,0.72,0.64,0.32,0.02,0,0,0.1,0.28,0.27,0.16,0.2,0.03,0.11,0.23,0.28,0.22,0.14,0,1,1,1,1
"Bedford Park-Nortown",39,23236,4209,5.52,0.2,0.14,0.36,0.13,0.17,0.03,0.29,0.21,5.5,0.84,0.66,0.25,0.06,0.01,0.01,0.16,0.32,0.31,0.13,0.08,0.02,0.08,0.29,0.32,0.2,0.1,1,1,0,0,1
"Beechborough-Greenbrook",112,6577,3614,1.82,0.17,0.13,0.42,0.13,0.15,0.02,0.54,0.59,11.4,0.79,0.53,0.42,0.04,0.01,0.01,0.1,0.21,0.3,0.17,0.23,0.08,0.22,0.22,0.16,0.1,0.2,1,0,1,1,1
"Bendale",127,29960,4011,7.47,0.15,0.15,0.4,0.12,0.18,0.03,0.55,0.72,8.8,0.82,0.57,0.38,0.04,0,0,0.13,0.23,0.25,0.15,0.24,0.06,0.15,0.24,0.23,0.14,0.18,1,1,1,1,1
"Birchcliffe-Cliffside",122,22291,3765,5.92,0.15,0.11,0.41,0.16,0.18,0.03,0.28,0.26,8.8,0.89,0.61,0.32,0.04,0.01,0.01,0.13,0.24,0.27,0.17,0.19,0.05,0.13,0.28,0.25,0.13,0.15,1,1,0,0,1
"Black Creek",24,21737,6282,3.46,0.21,0.15,0.39,0.11,0.13,0.02,0.59,0.81,12.7,0.56,0.6,0.34,0.03,0.01,0.01,0.12,0.29,0.26,0.11,0.22,0.09,0.22,0.2,0.13,0.11,0.25,1,0,1,1,1
"Blake-Jones",69,7727,8134,0.95,0.18,0.11,0.47,0.12,0.12,0.01,0.31,0.39,8.5,0.92,0.35,0.47,0.07,0.09,0.09,0.1,0.29,0.36,0.15,0.1,0.03,0.09,0.24,0.34,0.18,0.14,1,0,0,0,0
"Briar Hill-Belgravia",108,14257,7791,1.83,0.13,0.12,0.47,0.14,0.15,0.02,0.6,0.46,8.7,0.85,0.44,0.5,0.04,0.01,0.01,0.08,0.21,0.36,0.17,0.17,0.07,0.16,0.25,0.23,0.12,0.17,0,0,0,1,0
"Bridle Path-Sunnybrook-York Mills",41,9266,1040,8.91,0.15,0.15,0.33,0.16,0.19,0.03,0.34,0.3,8,0.83,0.74,0.18,0.05,0.01,0.01,0.13,0.33,0.37,0.11,0.06,0.01,0.08,0.29,0.35,0.21,0.06,1,1,0,0,1
"Broadview North",57,11499,6764,1.7,0.13,0.09,0.49,0.12,0.16,0.02,0.42,0.28,8.2,0.9,0.39,0.49,0.06,0.05,0.05,0.11,0.27,0.36,0.16,0.11,0.05,0.11,0.26,0.26,0.17,0.15,0,1,0,0,0
"Brookhaven-Amesbury",30,17757,5045,3.52,0.19,0.14,0.43,0.12,0.12,0.02,0.55,0.66,10,0.76,0.53,0.43,0.03,0,0,0.1,0.23,0.28,0.16,0.23,0.08,0.22,0.23,0.17,0.11,0.19,1,0,1,1,1
"Cabbagetown-South St. James Town",71,11669,8335,1.4,0.07,0.09,0.5,0.15,0.19,0.03,0.34,0.29,8,0.92,0.23,0.33,0.3,0.12,0.12,0.15,0.41,0.28,0.08,0.08,0.02,0.09,0.19,0.34,0.22,0.14,0,1,0,0,0
"Caledonia-Fairbank",109,9955,6464,1.54,0.15,0.12,0.46,0.14,0.13,0.02,0.53,0.36,7.2,0.87,0.51,0.43,0.03,0.01,0.01,0.07,0.21,0.31,0.21,0.21,0.09,0.2,0.25,0.19,0.1,0.16,1,0,0,1,0
"Casa Loma",96,10968,5683,1.93,0.11,0.1,0.42,0.13,0.24,0.04,0.27,0.17,6.6,0.92,0.43,0.39,0.12,0.04,0.04,0.13,0.39,0.33,0.11,0.04,0.01,0.06,0.24,0.37,0.23,0.1,0,1,0,0,0
"Centennial Scarborough",133,13362,2479,5.39,0.16,0.14,0.38,0.15,0.18,0.01,0.37,0.44,7.6,0.82,0.7,0.27,0.02,0,0,0.11,0.24,0.23,0.15,0.28,0.05,0.17,0.32,0.22,0.11,0.13,1,1,0,0,1
"Church-Yonge Corridor",75,31340,23044,1.36,0.04,0.16,0.6,0.1,0.1,0.01,0.36,0.41,8.5,0.91,0.16,0.39,0.4,0.04,0.04,0.21,0.4,0.22,0.08,0.08,0.02,0.07,0.18,0.39,0.22,0.12,0,0,0,0,0
"Clairlea-Birchmount",120,26984,3632,7.43,0.17,0.13,0.44,0.12,0.13,0.02,0.5,0.61,8.7,0.88,0.52,0.44,0.03,0.01,0.01,0.11,0.21,0.28,0.21,0.19,0.06,0.14,0.25,0.22,0.13,0.2,1,0,1,1,1
"Clanton Park",33,16472,3979,4.14,0.17,0.12,0.45,0.12,0.14,0.02,0.46,0.38,6.1,0.82,0.55,0.4,0.02,0.01,0.01,0.14,0.28,0.3,0.15,0.13,0.04,0.11,0.25,0.28,0.16,0.16,1,0,0,1,1
"Cliffcrest",123,15935,2273,7.01,0.16,0.13,0.38,0.15,0.17,0.02,0.37,0.42,9.7,0.88,0.62,0.34,0.03,0.01,0.01,0.11,0.26,0.25,0.16,0.21,0.06,0.16,0.27,0.23,0.12,0.16,1,1,0,0,1
"Corso Italia-Davenport",92,14133,7478,1.89,0.14,0.11,0.49,0.12,0.14,0.02,0.43,0.25,7.2,0.85,0.48,0.42,0.05,0.05,0.05,0.07,0.21,0.36,0.18,0.17,0.07,0.14,0.24,0.25,0.15,0.14,0,0,0,0,0
"Danforth",66,9666,8554,1.13,0.17,0.1,0.45,0.12,0.16,0.02,0.3,0.26,6.2,0.91,0.37,0.5,0.06,0.06,0.06,0.09,0.28,0.4,0.14,0.08,0.02,0.09,0.25,0.32,0.18,0.13,1,1,0,0,0
"Danforth East York",59,17180,7881,2.18,0.18,0.08,0.46,0.12,0.15,0.02,0.33,0.3,6.9,0.91,0.46,0.42,0.05,0.05,0.05,0.11,0.29,0.35,0.16,0.1,0.02,0.1,0.3,0.31,0.15,0.11,1,0,0,0,0
"Don Valley Village",47,27051,6441,4.2,0.15,0.12,0.44,0.12,0.17,0.02,0.67,0.71,9.6,0.75,0.55,0.4,0.03,0,0,0.09,0.26,0.26,0.15,0.24,0.04,0.12,0.27,0.27,0.17,0.13,1,1,1,1,1
"Dorset Park",126,25003,4146,6.03,0.17,0.13,0.42,0.13,0.15,0.03,0.6,0.78,9.7,0.8,0.56,0.39,0.04,0,0,0.13,0.24,0.25,0.16,0.22,0.06,0.17,0.24,0.2,0.13,0.2,1,0,1,1,1
"Dovercourt-Wallace Emerson-Junction",93,36625,9819,3.73,0.12,0.11,0.54,0.11,0.12,0.02,0.4,0.34,7.2,0.89,0.35,0.47,0.06,0.1,0.1,0.08,0.28,0.35,0.16,0.13,0.05,0.13,0.21,0.28,0.18,0.16,0,0,0,0,0
"Downsview-Roding-CFB",26,35052,2337,15,0.16,0.12,0.43,0.12,0.16,0.02,0.56,0.57,7.9,0.72,0.59,0.38,0.03,0,0,0.1,0.26,0.27,0.16,0.22,0.09,0.21,0.25,0.17,0.11,0.18,1,1,1,1,1
"Dufferin Grove",83,11785,8540,1.38,0.11,0.09,0.57,0.1,0.13,0.01,0.38,0.31,7.5,0.9,0.29,0.48,0.1,0.12,0.12,0.1,0.29,0.34,0.15,0.12,0.04,0.13,0.21,0.28,0.18,0.15,0,0,0,0,0
"East End-Danforth",62,21381,8038,2.66,0.17,0.1,0.47,0.13,0.12,0.01,0.28,0.31,8.2,0.9,0.45,0.44,0.06,0.04,0.04,0.11,0.23,0.33,0.2,0.13,0.04,0.11,0.27,0.3,0.14,0.14,1,0,0,0,0
"Edenbridge-Humber Valley",9,15535,2840,5.47,0.14,0.12,0.38,0.15,0.21,0.04,0.39,0.21,6.1,0.71,0.68,0.28,0.02,0.01,0.01,0.11,0.28,0.29,0.17,0.15,0.05,0.15,0.28,0.28,0.12,0.12,0,1,0,0,1
