"HOOD ID","HOOD NAME","MOST SPOKEN NON-OFFICIAL LANG","2ND MOST SPOKEN NON-OFFICIAL LANG","3RD MOST SPOKEN NON-OFFICIAL LANG","% OFFICIAL LANG AT HOME","% NON-OFFICIAL LANG AT HOME"
1,"West Humber-Clairville","Punjabi","Gujarati","Spanish",0.64,0.36
2,"Mount Olive-Silverstone-Jamestown","Punjabi","Gujarati","Assyrian Languages",0.55,0.45
3,"Thistletown-Beaumond Heights","Punjabi","Spanish","Gujarati",0.64,0.36
4,"Rexdale-Kipling","Spanish","Italian","Croatian",0.75,0.25
5,"Elms-Old Rexdale","Spanish","Somali","Italian",0.73,0.27
6,"Kingsview Village-The Westway","Somali","Urdu","Spanish",0.67,0.33
7,"Willowridge-Martingrove-Richview","Italian","Spanish","Urdu",0.77,0.23
8,"Humber Heights-Westmount","Ukrainian","Spanish","Italian",0.7,0.3
9,"Edenbridge-Humber Valley","Ukrainian","Spanish","Italian",0.82,0.18
10,"Princess-Rosethorn","Korean","Serbian","Mandarin",0.86,0.14
11,"Eringate-Centennial-West Deane","Ukrainian","Polish","Serbian",0.75,0.24
12,"Markland Wood","Serbian","Ukrainian","Polish",0.78,0.22
13,"Etobicoke West Mall","Serbian","Spanish","Ukrainian",0.68,0.32
14,"Islington-City Centre West","Korean","Ukrainian","Spanish",0.73,0.27
15,"Kingsway South","Ukrainian","Polish","Portuguese",0.94,0.06
16,"Stonegate-Queensway","Ukrainian","Polish","Russian",0.81,0.19
17,"Mimico (includes Humber Bay Shores)","Polish","Spanish","Russian",0.81,0.19
18,"New Toronto","Polish","Tagalog","Spanish",0.84,0.16
19,"Long Branch","Polish","Ukrainian","Tagalog",0.84,0.16
20,"Alderwood","Polish","Italian","Ukrainian",0.82,0.18
21,"Humber Summit","Italian","Urdu","Punjabi",0.55,0.45
22,"Humbermede","Spanish","Urdu","Italian",0.59,0.42
23,"Pelmo Park-Humberlea","Italian","Spanish","Vietnamese",0.73,0.27
24,"Black Creek","Vietnamese","Spanish","Assyrian Languages",0.62,0.38
25,"Glenfield-Jane Heights","Vietnamese","Spanish","Italian",0.62,0.38
26,"Downsview-Roding-CFB","Italian","Spanish","Tagalog",0.65,0.35
27,"York University Heights","Italian","Spanish","Tagalog",0.62,0.38
28,"Rustic","Italian","Spanish","Somali",0.69,0.31
29,"Maple Leaf","Italian","Tagalog","Spanish",0.63,0.37
30,"Brookhaven-Amesbury","Spanish","Portuguese","Vietnamese",0.66,0.34
31,"Yorkdale-Glen Park","Italian","Portuguese","Spanish",0.67,0.33
32,"Englemount-Lawrence","Tagalog","Russian","Spanish",0.79,0.21
33,"Clanton Park","Tagalog","Russian","Italian",0.76,0.24
34,"Bathurst Manor","Russian","Tagalog","Italian",0.68,0.32
35,"Westminster-Branson","Russian","Tagalog","Korean",0.49,0.51
36,"Newtonbrook West","Russian","Tagalog","Korean",0.49,0.52
37,"Willowdale West","Mandarin","Persian","Korean",0.56,0.43
38,"Lansing-Westgate","Persian","Korean","Mandarin",0.73,0.27
39,"Bedford Park-Nortown","Tagalog","Persian","Mandarin",0.9,0.1
40,"St.Andrew-Windfields","Mandarin","Persian","Cantonese",0.7,0.3
